车名	最大马力Ps	排量mL	进气形式	气缸排列形式	气缸数个	最大扭矩Nm	变速箱类型	指导价	T_两步
Jeep(进口)- 牧马人	284	3604	自然吸气	V	6	347	自动变速箱(AT)	48.99	cluster-1
Jeep(进口)- 牧马人	284	3604	自然吸气	V	6	347	自动变速箱(AT)	42.99	cluster-1
Jeep(进口)- 牧马人	284	3604	自然吸气	V	6	347	自动变速箱(AT)	48.99	cluster-1
Jeep(进口)- 牧马人	284	3604	自然吸气	V	6	347	自动变速箱(AT)	55.99	cluster-1
讴歌- 讴歌RDX	267	2997	自然吸气	V	6	298	自动变速箱(AT)	43.9	cluster-1
讴歌- 讴歌RDX	277	3471	自然吸气	V	6	340	自动变速箱(AT)	59.8	cluster-1
丰田(进口)- FJ 酷路泽	272	3956	自然吸气	V	6	380	自动变速箱(AT)	54.68	cluster-1
现代(进口)- 全新胜达(进口)	264	2999	自然吸气	V	6	306	自动变速箱(AT)	30.56	cluster-1
现代(进口)- 全新胜达(进口)	264	2999	自然吸气	V	6	306	自动变速箱(AT)	32.28	cluster-1
现代(进口)- 全新胜达(进口)	264	2999	自然吸气	V	6	306	自动变速箱(AT)	32.78	cluster-1
现代(进口)- 全新胜达(进口)	264	2999	自然吸气	V	6	306	自动变速箱(AT)	33.68	cluster-1
现代(进口)- 全新胜达(进口)	264	2999	自然吸气	V	6	306	自动变速箱(AT)	35.78	cluster-1
现代(进口)- 全新胜达(进口)	264	2999	自然吸气	V	6	306	自动变速箱(AT)	30.96	cluster-1
现代(进口)- 全新胜达(进口)	264	2999	自然吸气	V	6	306	自动变速箱(AT)	32.68	cluster-1
现代(进口)- 全新胜达(进口)	264	2999	自然吸气	V	6	306	自动变速箱(AT)	33.18	cluster-1
现代(进口)- 全新胜达(进口)	264	2999	自然吸气	V	6	306	自动变速箱(AT)	34.08	cluster-1
现代(进口)- 全新胜达(进口)	264	2999	自然吸气	V	6	306	自动变速箱(AT)	36.18	cluster-1
Jeep(进口)- 自由光	272	3239	自然吸气	V	6	315	自动变速箱(AT)	52.99	cluster-1
雷克萨斯- 雷克萨斯RX	277	3456	自然吸气	V	6	346	自动变速箱(AT)	71.7	cluster-1
雷克萨斯- 雷克萨斯RX	277	3456	自然吸气	V	6	346	自动变速箱(AT)	78.7	cluster-1
雷克萨斯- 雷克萨斯RX	277	3456	自然吸气	V	6	346	自动变速箱(AT)	78.7	cluster-1
雷克萨斯- 雷克萨斯RX	277	3456	自然吸气	V	6	346	自动变速箱(AT)	84.8	cluster-1
雷克萨斯- 雷克萨斯RX	249	3456	自然吸气	V	6	317	无级变速箱(CVT)	94.5	cluster-1
雷克萨斯- 雷克萨斯RX	249	3456	自然吸气	V	6	317	无级变速箱(CVT)	96.88	cluster-1
斯巴鲁- 驰鹏	258	3630	自然吸气	H	6	350	自动变速箱(AT)	58.78	cluster-1
斯巴鲁- 驰鹏	258	3630	自然吸气	H	6	350	自动变速箱(AT)	58.78	cluster-1
讴歌- 讴歌ZDX	309	3664	自然吸气	V	6	370	自动变速箱(AT)	88.8	cluster-1
北京奔驰- 奔驰GLK级	245	2996	自然吸气	V	6	300	自动变速箱(AT)	48.5	cluster-1
北京奔驰- 奔驰GLK级	245	2996	自然吸气	V	6	300	自动变速箱(AT)	55.8	cluster-1
北京奔驰- 奔驰GLK级	245	2996	自然吸气	V	6	300	自动变速箱(AT)	43.8	cluster-1
北京奔驰- 奔驰GLK级	245	2996	自然吸气	V	6	300	自动变速箱(AT)	48.5	cluster-1
北京奔驰- 奔驰GLK级	245	2996	自然吸气	V	6	300	自动变速箱(AT)	55.8	cluster-1
北京奔驰- 奔驰GLK级	245	2996	自然吸气	V	6	300	自动变速箱(AT)	41.8	cluster-1
三菱(进口)- 帕杰罗(进口)	177	2972	自然吸气	V	6	259	自动变速箱(AT)	39.8	cluster-1
三菱(进口)- 帕杰罗(进口)	174	2972	自然吸气	V	6	255	自动变速箱(AT)	39.8	cluster-1
三菱(进口)- 帕杰罗(进口)	177	2972	自然吸气	V	6	259	自动变速箱(AT)	44.8	cluster-1
三菱(进口)- 帕杰罗(进口)	174	2972	自然吸气	V	6	255	自动变速箱(AT)	44.8	cluster-1
三菱(进口)- 帕杰罗(进口)	177	2972	自然吸气	V	6	259	自动变速箱(AT)	46.8	cluster-1
三菱(进口)- 帕杰罗(进口)	174	2972	自然吸气	V	6	255	自动变速箱(AT)	46.8	cluster-1
广汽丰田- 汉兰达	273	3456	自然吸气	V	6	337	自动变速箱(AT)	32.28	cluster-1
广汽丰田- 汉兰达	273	3456	自然吸气	V	6	337	自动变速箱(AT)	37.98	cluster-1
广汽丰田- 汉兰达	273	3456	自然吸气	V	6	337	自动变速箱(AT)	38.78	cluster-1
广汽丰田- 汉兰达	273	3456	自然吸气	V	6	337	自动变速箱(AT)	42.28	cluster-1
广汽丰田- 汉兰达	273	3456	自然吸气	V	6	337	自动变速箱(AT)	32.98	cluster-1
广汽丰田- 汉兰达	273	3456	自然吸气	V	6	337	自动变速箱(AT)	37.98	cluster-1
广汽丰田- 汉兰达	273	3456	自然吸气	V	6	337	自动变速箱(AT)	39.98	cluster-1
广汽丰田- 汉兰达	273	3456	自然吸气	V	6	337	自动变速箱(AT)	42.98	cluster-1
一汽丰田- 普拉多	275	3956	自然吸气	V	6	381	自动变速箱(AT)	53	cluster-1
一汽丰田- 普拉多	275	3956	自然吸气	V	6	381	自动变速箱(AT)	57.1	cluster-1
一汽丰田- 普拉多	275	3956	自然吸气	V	6	381	自动变速箱(AT)	60.2	cluster-1
一汽丰田- 普拉多	275	3956	自然吸气	V	6	381	自动变速箱(AT)	64.2	cluster-1
一汽丰田- 普拉多	275	3956	自然吸气	V	6	381	自动变速箱(AT)	67.6	cluster-1
雷克萨斯- 雷克萨斯GX	275	3956	自然吸气	V	6	381	自动变速箱(AT)	84.8	cluster-1
雷克萨斯- 雷克萨斯GX	275	3956	自然吸气	V	6	381	自动变速箱(AT)	92.3	cluster-1
雷克萨斯- 雷克萨斯GX	275	3956	自然吸气	V	6	381	自动变速箱(AT)	94.68	cluster-1
英菲尼迪(进口)- 英菲尼迪QX5	235	2496	自然吸气	V	6	253	自动变速箱(AT)	41.88	cluster-1
英菲尼迪(进口)- 英菲尼迪QX5	235	2496	自然吸气	V	6	253	自动变速箱(AT)	44.88	cluster-1
英菲尼迪(进口)- 英菲尼迪QX5	235	2496	自然吸气	V	6	253	自动变速箱(AT)	46.88	cluster-1
英菲尼迪(进口)- 英菲尼迪QX5	235	2496	自然吸气	V	6	253	自动变速箱(AT)	49.88	cluster-1
广汽三菱- 帕杰罗?劲畅	252	2998	自然吸气	V	6	310	自动变速箱(AT)	25.58	cluster-1
广汽三菱- 帕杰罗?劲畅	252	2998	自然吸气	V	6	310	自动变速箱(AT)	31.58	cluster-1
广汽三菱- 帕杰罗?劲畅	252	2998	自然吸气	V	6	310	自动变速箱(AT)	24.88	cluster-1
广汽三菱- 帕杰罗?劲畅	252	2998	自然吸气	V	6	310	自动变速箱(AT)	28.88	cluster-1
广汽三菱- 帕杰罗?劲畅	252	2998	自然吸气	V	6	310	自动变速箱(AT)	30.88	cluster-1
现代(进口)- 格锐	264	2999	自然吸气	V	6	306	自动变速箱(AT)	32.98	cluster-1
现代(进口)- 格锐	264	2999	自然吸气	V	6	306	自动变速箱(AT)	32.98	cluster-1
现代(进口)- 格锐	264	2999	自然吸气	V	6	306	自动变速箱(AT)	35.88	cluster-1
